30 to 15,245,375,lightblue
15 to 4,400,750,blue
fast 50,1023,1069,red
fast cold,1373,1520,blue
fast 50,1766,1812,red
slow 50,2239,2353,red
fast 42,2721,2765,red
2.0g VF 1-1,3483,3493.6,red
2.0g VF 1-2,3610,3620.6,white
2.0g VF 1-3,3738,3748.6,white
2.0g VF 1-4,3862,3872.6,white
2.0g VF 2-1,3990,4000.6,red
2.0g VF 2-2,4117,4127.6,white
2.0g VF 2-3,4243,4253.6,white
2.0g VF 2-4,4368,4378.6,white
2.0g VF 3-1,4496,4506.6,red
2.0g VF 3-2,4623,4633.6,white
2.0g VF 3-3,4750.336712,4760.936712,white
2.0g VF 3-4,4878.083263,4888.683263,white
2.0g VF 4-1,5005,5015.6,red
2.0g VF 4-2,5133.576364,5144.176364,white
2.0g VF 4-3,5261.322915,5271.922915,white
2.0g VF 4-4,5389.069466,5399.669466,white
DRGS 200,5525.151707,5537.841707,yellow
DRGS 400,5652.898258,5665.588258,yellow
DRGS 600,5738.062625,5750.752625,yellow
DRGS 800,5865.809176,5878.499176,yellow
DRGS 1200,5933.940669,5946.630669,yellow
TD_1-1_B1_0,6171.857143,6192.714286,grey
5mN_1-1_B1_1,6193.714286,6203.085714,lightgreen
TD_1-2_B1_0,6256.428571,6277.285714,grey
5mN_1-2_B1_1,6278.285714,6287.514286,lightgreen
TD_1-3_B1_0,6340.857143,6361.714286,grey
5mN_1-3_B1_1,6362.714286,6371.942857,lightgreen
TD_2-3_B1_0,6425.285714,6446.285714,grey
5mN_2-3_B1_1,6447.285714,6456.514286,lightgreen
TD_2-2_B1_0,6509.714286,6530.571429,grey
5mN_2-2_B1_1,6531.571429,6540.8,lightgreen
TD_2-1_B1_0,6594.285714,6615.142857,grey
5mN_2-1_B1_1,6616.142857,6625.514286,lightgreen
TD_3-1_B1_0,6678.714286,6699.571429,grey
5mN_3-1_B1_1,6700.571429,6709.8,lightgreen
TD_3-2_B1_0,6763.142857,6784,grey
5mN_3-2_B1_1,6785,6794.371429,lightgreen
TD_3-3_B1_0,6847.571429,6868.571429,grey
5mN_3-3_B1_1,6869.571429,6878.8,lightgreen
TD_1-1_B1_0,7016.428571,7037.285714,grey
15mN_1-1_B1_1,7038.285714,7047.657143,orange
TD_1-2_B1_0,7101,7121.857143,grey
15mN_1-2_B1_1,7122.857143,7132.085714,orange
TD_1-3_B1_0,7185.428571,7206.285714,grey
15mN_1-3_B1_1,7207.285714,7216.514286,orange
TD_2-3_B1_0,7269.857143,7290.714286,grey
15mN_2-3_B1_1,7291.714286,7300.942857,orange
TD_2-2_B1_0,7354.428571,7375.142857,grey
15mN_2-2_B1_1,7376.142857,7385.514286,orange
TD_2-1_B1_0,7438.714286,7459.571429,grey
15mN_2-1_B1_1,7460.571429,7469.942857,orange
TD_3-1_B1_0,7523.285714,7544.142857,grey
15mN_3-1_B1_1,7545.142857,7554.371429,orange
TD_3-2_B1_0,7607.571429,7628.571429,grey
15mN_3-2_B1_1,7629.571429,7638.657143,orange
TD_3-3_B1_0,7692.142857,7713,grey
15mN_3-3_B1_1,7714,7723.228571,orange
TD_1-1_B1_0,7860.857143,7881.714286,grey
45mN_1-1_B1_1,7882.714286,7892.085714,red
TD_1-2_B1_0,7945.428571,7966.285714,grey
45mN_1-2_B1_1,7967.285714,7976.514286,red
TD_1-3_B1_0,8029.857143,8050.714286,grey
45mN_1-3_B1_1,8051.714286,8060.942857,red
TD_2-3_B1_0,8114.285714,8135.142857,grey
45mN_2-3_B1_1,8136.142857,8145.371429,red
TD_2-2_B1_0,8198.857143,8219.714286,grey
45mN_2-2_B1_1,8220.714286,8229.942857,red
TD_2-1_B1_0,8283.428571,8304.142857,grey
45mN_2-1_B1_1,8305.142857,8314.514286,red
TD_3-1_B1_0,8367.857143,8388.571429,grey
45mN_3-1_B1_1,8389.571429,8398.942857,red
TD_3-2_B1_0,8452.285714,8473.142857,grey
45mN_3-2_B1_1,8474.142857,8483.371429,red
TD_3-3_B1_0,8536.714286,8557.571429,grey
45mN_3-3_B1_1,8558.571429,8567.8,red
TD_1-1_B2_0,9246.857143,9268,grey
5mN_1-1_B2_1,9269,9278.228571,lightgreen
TD_1-2_B2_0,9331.571429,9352.428571,grey
5mN_1-2_B2_1,9353.428571,9362.657143,lightgreen
TD_1-3_B2_0,9416,9436.857143,grey
5mN_1-3_B2_1,9437.857143,9447.085714,lightgreen
TD_2-3_B2_0,9500.571429,9521.285714,grey
5mN_2-3_B2_1,9522.285714,9531.657143,lightgreen
TD_2-2_B2_0,9585.142857,9605.857143,grey
5mN_2-2_B2_1,9606.857143,9616.085714,lightgreen
TD_2-1_B2_0,9669.571429,9690.285714,grey
5mN_2-1_B2_1,9691.285714,9700.514286,lightgreen
TD_3-1_B2_0,9754.142857,9774.857143,grey
5mN_3-1_B2_1,9775.857143,9785.228571,lightgreen
TD_3-2_B2_0,9838.571429,9859.428571,grey
5mN_3-2_B2_1,9860.428571,9869.657143,lightgreen
TD_3-3_B2_0,9923,9943.857143,grey
5mN_3-3_B2_1,9944.857143,9954.085714,lightgreen
TD_1-1_B2_0,10176.28571,10197.28571,grey
15mN_1-1_B2_1,10198.28571,10207.51429,orange
TD_1-2_B2_0,10261,10281.85714,grey
15mN_1-2_B2_1,10282.85714,10292.08571,orange
TD_1-3_B2_0,10345.57143,10366.28571,grey
15mN_1-3_B2_1,10367.28571,10376.65714,orange
TD_2-3_B2_0,10430,10450.85714,grey
15mN_2-3_B2_1,10451.85714,10461.08571,orange
TD_2-2_B2_0,10514.42857,10535.28571,grey
15mN_2-2_B2_1,10536.28571,10545.51429,orange
TD_2-1_B2_0,10599,10619.85714,grey
15mN_2-1_B2_1,10620.85714,10630.08571,orange
TD_3-1_B2_0,10683.42857,10704.14286,grey
15mN_3-1_B2_1,10705.14286,10714.51429,orange
TD_3-2_B2_0,10768,10788.85714,grey
15mN_3-2_B2_1,10789.85714,10799.08571,orange
TD_3-3_B2_0,10852.42857,10873.28571,grey
15mN_3-3_B2_1,10874.28571,10883.51429,orange
TD_1-1_B2_0,11021,11042.14286,grey
45mN_1-1_B2_1,11043.14286,11052.37143,red
TD_1-2_B2_0,11105.71429,11126.57143,grey
45mN_1-2_B2_1,11127.57143,11136.8,red
TD_1-3_B2_0,11190.28571,11211,grey
45mN_1-3_B2_1,11212,11221.37143,red
TD_2-3_B2_0,11274.71429,11295.57143,grey
45mN_2-3_B2_1,11296.57143,11305.8,red
TD_2-2_B2_0,11359.28571,11380.14286,grey
45mN_2-2_B2_1,11381.14286,11390.37143,red
TD_2-1_B2_0,11443.71429,11464.42857,grey
45mN_2-1_B2_1,11465.42857,11474.8,red
TD_3-1_B2_0,11528.28571,11549,grey
45mN_3-1_B2_1,11550,11559.37143,red
TD_3-2_B2_0,11612.71429,11633.42857,grey
45mN_3-2_B2_1,11634.42857,11643.65714,red
TD_3-3_B2_0,11697.14286,11717.85714,grey
45mN_3-3_B2_1,11718.85714,11728.08571,red
DRGS 400-1,11840.25987,11852.94987,yellow
DRGS 600-1,11968.00642,11980.69642,yellow
DRGS 800-1,12095.75297,12108.44297,yellow
DRGS 1200-1,12232.01595,12244.70595,yellow
DRGS 1600-1,12334.2132,12346.9032,yellow
DRGS 3200-1,12453.44331,12466.13331,yellow
TD_1-1_B3_0,14819,14840.14286,grey
5mN_1-1_B3_1,14841.14286,14850.37143,lightgreen
TD_1-2_B3_0,14903.71429,14924.42857,grey
5mN_1-2_B3_1,14925.42857,14934.65714,lightgreen
TD_1-3_B3_0,14988.14286,15009,grey
5mN_1-3_B3_1,15010,15019.22857,lightgreen
TD_2-3_B3_0,15072.57143,15093.42857,grey
5mN_2-3_B3_1,15094.42857,15103.65714,lightgreen
TD_2-2_B3_0,15157.14286,15178,grey
5mN_2-2_B3_1,15179,15188.22857,lightgreen
TD_2-1_B3_0,15241.57143,15262.42857,grey
5mN_2-1_B3_1,15263.42857,15272.65714,lightgreen
TD_3-1_B3_0,15326.14286,15346.85714,grey
5mN_3-1_B3_1,15347.85714,15357.22857,lightgreen
TD_3-2_B3_0,15410.71429,15431.42857,grey
5mN_3-2_B3_1,15432.42857,15441.65714,lightgreen
TD_3-3_B3_0,15495.14286,15516,grey
5mN_3-3_B3_1,15517,15526.37143,lightgreen
TD_1-1_B3_0,15663.85714,15684.85714,grey
15mN_1-1_B3_1,15685.85714,15695.08571,orange
TD_1-2_B3_0,15748.42857,15769.28571,grey
15mN_1-2_B3_1,15770.28571,15779.51429,orange
TD_1-3_B3_0,15832.85714,15853.71429,grey
15mN_1-3_B3_1,15854.71429,15863.94286,orange
TD_2-3_B3_0,15917.28571,15938,grey
15mN_2-3_B3_1,15939,15948.37143,orange
TD_2-2_B3_0,16001.85714,16022.71429,grey
15mN_2-2_B3_1,16023.71429,16032.94286,orange
TD_2-1_B3_0,16086.42857,16107.14286,grey
15mN_2-1_B3_1,16108.14286,16117.51429,orange
TD_3-1_B3_0,16171,16191.71429,grey
15mN_3-1_B3_1,16192.71429,16201.94286,orange
TD_3-2_B3_0,16255.28571,16276.14286,grey
15mN_3-2_B3_1,16277.14286,16286.37143,orange
TD_3-3_B3_0,16339.71429,16360.57143,grey
15mN_3-3_B3_1,16361.57143,16370.8,orange
TD_1-1_B3_0,16508.28571,16529.28571,grey
45mN_1-1_B3_1,16530.28571,16539.51429,red
TD_1-2_B3_0,16593,16613.71429,grey
45mN_1-2_B3_1,16614.71429,16623.94286,red
TD_1-3_B3_0,16677.42857,16698.14286,grey
45mN_1-3_B3_1,16699.14286,16708.37143,red
TD_2-3_B3_0,16761.71429,16782.57143,grey
45mN_2-3_B3_1,16783.57143,16792.8,red
TD_2-2_B3_0,16846.28571,16867.14286,grey
45mN_2-2_B3_1,16868.14286,16877.37143,red
TD_2-1_B3_0,16930.71429,16951.57143,grey
45mN_2-1_B3_1,16952.57143,16961.8,red
TD_3-1_B3_0,17015.28571,17036,grey
45mN_3-1_B3_1,17037,17046.22857,red
TD_3-2_B3_0,17099.57143,17120.42857,grey
45mN_3-2_B3_1,17121.42857,17130.65714,red
TD_3-3_B3_0,17184.14286,17204.85714,grey
45mN_3-3_B3_1,17205.85714,17215.22857,red
TD_1-1_B3_0,17352.85714,17373.85714,grey
75mN_1-1_B3_1,17374.85714,17384.22857,darkred
TD_1-2_B3_0,17437.42857,17458.42857,grey
75mN_1-2_B3_1,17459.42857,17468.65714,darkred
TD_1-3_B3_0,17522,17542.85714,grey
75mN_1-3_B3_1,17543.85714,17553.08571,darkred
TD_2-3_B3_0,17606.42857,17627.28571,grey
75mN_2-3_B3_1,17628.28571,17637.51429,darkred
TD_2-2_B3_0,17690.85714,17711.71429,grey
75mN_2-2_B3_1,17712.71429,17721.94286,darkred
TD_2-1_B3_0,17775,17796.14286,grey
75mN_2-1_B3_1,17797.14286,17806.37143,darkred
TD_3-1_B3_0,17859.42857,17880.57143,grey
75mN_3-1_B3_1,17881.57143,17890.8,darkred
TD_3-2_B3_0,17944.14286,17965,grey
75mN_3-2_B3_1,17966,17975.22857,darkred
